NR_SEQ_EXAME;NM_EXAME;CD_EXAME_INTEGRACAO;RESPOSTA
19307;Acanthamoeba, Pesquisa - Diversos (Matrix);ACANTX; Cod_exame = 19307 | Material= Diversos | Estab_liberado = Hospital do Coracao
19307;Acanthamoeba, Pesquisa - Diversos (Matrix);ACANTX; Cod_exame = 19307 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
18024;Acetilcolina, Anticorpo Anti Receptor (Matrix);ACETR; Cod_exame = 18024 | Material= Soro | Estab_liberado = Hospital do Coracao
18024;Acetilcolina, Anticorpo Anti Receptor (Matrix);ACETR; Cod_exame = 18024 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18393;Acetilcolina, Anticorpo Ligador do Receptor (Matrix);ACETL; Cod_exame = 18393 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18393;Acetilcolina, Anticorpo Ligador do Receptor (Matrix);ACETL; Cod_exame = 18393 | Material= Soro | Estab_liberado = Hospital do Coracao
18025;Acetona - Urina (Matrix);CETU; Cod_exame = 18025 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18025;Acetona - Urina (Matrix);CETU; Cod_exame = 18025 | Material= Urina | Estab_liberado = Hospital do Coracao
18394;Acetona (Matrix);CETS; Cod_exame = 18394 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18394;Acetona (Matrix);CETS; Cod_exame = 18394 | Material= Urina | Estab_liberado = Hospital do Coracao
19369;Acidemia Matilmalonica Tipo C, Analise Molecular (Matrix);MMACHC; Cod_exame = 19369 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19369;Acidemia Matilmalonica Tipo C, Analise Molecular (Matrix);MMACHC; Cod_exame = 19369 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18484;Acido Acetil Salicilico (Matrix);AASD; Cod_exame = 18484 | Material= Soro | Estab_liberado = Hospital do Coracao
18484;Acido Acetil Salicilico (Matrix);AASD; Cod_exame = 18484 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18026;Acido Citrico - Citrato - Urina 24 Horas (Matrix);ACU24; Cod_exame = 18026 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital do Coracao
18026;Acido Citrico - Citrato - Urina 24 Horas (Matrix);ACU24; Cod_exame = 18026 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital Santa Luzia
18396;Acido Citrico - Citrato (Matrix);ACS; Cod_exame = 18396 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18396;Acido Citrico - Citrato (Matrix);ACS; Cod_exame = 18396 | Material= Soro | Estab_liberado = Hospital do Coracao
18397;Acido Citrico - Citrato Urina Recente (Matrix);ACUR; Cod_exame = 18397 | Material= Urina | Estab_liberado = Hospital do Coracao
18397;Acido Citrico - Citrato Urina Recente (Matrix);ACUR; Cod_exame = 18397 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18398;Acido Delta Amino Levulinico Urina (Matrix);ADUR; Cod_exame = 18398 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18398;Acido Delta Amino Levulinico Urina (Matrix);ADUR; Cod_exame = 18398 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
18485;Acido Delta Amino Levulinico Urina 24H (Matrix);ADU24; Cod_exame = 18485 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital Santa Luzia
18485;Acido Delta Amino Levulinico Urina 24H (Matrix);ADU24; Cod_exame = 18485 | Material= URINA 24 HORAS PROTEGIDA DA LUZ | Estab_liberado = Hospital do Coracao
19370;Acido Dietilamino Lisergico, Dosagem (Matrix);LSDUR; Cod_exame = 19370 | Material= Urina | Estab_liberado = Hospital do Coracao
19370;Acido Dietilamino Lisergico, Dosagem (Matrix);LSDUR; Cod_exame = 19370 | Material= Urina | Estab_liberado = Hospital Santa Luzia
